2021-09-28 00:14:11.989 +06:00 [INF] Application Starting up
2021-09-28 00:55:48.497 +06:00 [INF] no file to delete
2021-09-28 00:55:48.497 +06:00 [INF] Worker running at: "2021-09-28T00:55:48.4971181+06:00"
2021-09-28 00:56:08.532 +06:00 [INF] no file to delete
2021-09-28 00:56:08.532 +06:00 [INF] Worker running at: "2021-09-28T00:56:08.5323052+06:00"
2021-09-28 00:56:28.581 +06:00 [INF] no file to delete
2021-09-28 00:56:28.581 +06:00 [INF] Worker running at: "2021-09-28T00:56:28.5814928+06:00"
2021-09-28 00:56:48.599 +06:00 [INF] no file to delete
2021-09-28 00:56:48.599 +06:00 [INF] Worker running at: "2021-09-28T00:56:48.5992962+06:00"
2021-09-28 00:57:08.613 +06:00 [INF] no file to delete
2021-09-28 00:57:08.613 +06:00 [INF] Worker running at: "2021-09-28T00:57:08.6136927+06:00"
2021-09-28 00:57:28.634 +06:00 [INF] no file to delete
2021-09-28 00:57:28.634 +06:00 [INF] Worker running at: "2021-09-28T00:57:28.6343543+06:00"
2021-09-28 00:57:48.638 +06:00 [INF] no file to delete
2021-09-28 00:57:48.638 +06:00 [INF] Worker running at: "2021-09-28T00:57:48.6388362+06:00"
2021-09-28 00:58:08.646 +06:00 [INF] no file to delete
2021-09-28 00:58:08.646 +06:00 [INF] Worker running at: "2021-09-28T00:58:08.6469495+06:00"
2021-09-28 00:58:28.663 +06:00 [INF] no file to delete
2021-09-28 00:58:28.663 +06:00 [INF] Worker running at: "2021-09-28T00:58:28.6630864+06:00"
2021-09-28 00:58:48.678 +06:00 [INF] no file to delete
2021-09-28 00:58:48.678 +06:00 [INF] Worker running at: "2021-09-28T00:58:48.6784832+06:00"
2021-09-28 00:59:08.698 +06:00 [INF] no file to delete
2021-09-28 00:59:08.698 +06:00 [INF] Worker running at: "2021-09-28T00:59:08.6980572+06:00"
2021-09-28 00:59:28.709 +06:00 [INF] no file to delete
2021-09-28 00:59:28.709 +06:00 [INF] Worker running at: "2021-09-28T00:59:28.7098252+06:00"
2021-09-28 00:59:48.725 +06:00 [INF] no file to delete
2021-09-28 00:59:48.727 +06:00 [INF] Worker running at: "2021-09-28T00:59:48.7275217+06:00"
2021-09-28 01:00:08.740 +06:00 [INF] no file to delete
2021-09-28 01:00:08.740 +06:00 [INF] Worker running at: "2021-09-28T01:00:08.7403893+06:00"
2021-09-28 01:00:28.756 +06:00 [INF] no file to delete
2021-09-28 01:00:28.756 +06:00 [INF] Worker running at: "2021-09-28T01:00:28.7561944+06:00"
2021-09-28 01:00:48.774 +06:00 [INF] no file to delete
2021-09-28 01:00:48.774 +06:00 [INF] Worker running at: "2021-09-28T01:00:48.7748000+06:00"
2021-09-28 01:01:08.791 +06:00 [INF] no file to delete
2021-09-28 01:01:08.791 +06:00 [INF] Worker running at: "2021-09-28T01:01:08.7910727+06:00"
2021-09-28 01:01:28.797 +06:00 [INF] no file to delete
2021-09-28 01:01:28.797 +06:00 [INF] Worker running at: "2021-09-28T01:01:28.7974289+06:00"
2021-09-28 01:01:48.804 +06:00 [INF] no file to delete
2021-09-28 01:01:48.805 +06:00 [INF] Worker running at: "2021-09-28T01:01:48.8056364+06:00"
2021-09-28 01:02:08.810 +06:00 [INF] no file to delete
2021-09-28 01:02:08.810 +06:00 [INF] Worker running at: "2021-09-28T01:02:08.8107176+06:00"
2021-09-28 01:02:28.825 +06:00 [INF] no file to delete
2021-09-28 01:02:28.826 +06:00 [INF] Worker running at: "2021-09-28T01:02:28.8260031+06:00"
2021-09-28 01:02:48.840 +06:00 [INF] no file to delete
